Insert: 5, 11, 9, 7, 6, 12, 4, 1
Node: 9, Parent: nil, Left: 6, Right: 11, Color: Black
Node: 6, Parent: 9, Left: 4, Right: 7, Color: Red
Node: 11, Parent: 9, Left: nil, Right: 12, Color: Black
Node: 4, Parent: 6, Left: 1, Right: 5, Color: Black
Node: 7, Parent: 6, Left: nil, Right: nil, Color: Black
Node: 12, Parent: 11, Left: nil, Right: nil, Color: Red
Node: 1, Parent: 4, Left: nil, Right: nil, Color: Red
Node: 5, Parent: 4, Left: nil, Right: nil, Color: Red

Delete: 11, 5
Node: 9, Parent: nil, Left: 6, Right: 12, Color: Black
Node: 6, Parent: 9, Left: 4, Right: 7, Color: Red
Node: 12, Parent: 9, Left: nil, Right: nil, Color: Black
Node: 4, Parent: 6, Left: 1, Right: nil, Color: Black
Node: 7, Parent: 6, Left: nil, Right: nil, Color: Black
Node: 1, Parent: 4, Left: nil, Right: nil, Color: Red

Insert: 2, 3
Node: 6, Parent: nil, Left: 2, Right: 9, Color: Black
Node: 2, Parent: 6, Left: 1, Right: 4, Color: Red
Node: 9, Parent: 6, Left: 7, Right: 12, Color: Red
Node: 1, Parent: 2, Left: nil, Right: nil, Color: Black
Node: 4, Parent: 2, Left: 3, Right: nil, Color: Black
Node: 7, Parent: 9, Left: nil, Right: nil, Color: Black
Node: 12, Parent: 9, Left: nil, Right: nil, Color: Black
Node: 3, Parent: 4, Left: nil, Right: nil, Color: Red
